ID;Value
3970692580;6319311
7531810238;4950894
4413706276;7240807
7046435196;5237772
9474701242;9478265
4095561226;4512911
8494972181;6055836
3748963168;9168193
6440654820;9782432
2302813500;1952762
7077382951;9420854
3980536986;6203080
9712221831;7533105
1120809763;3763200
8335710813;2475353
9396812045;5612207
5321270908;3137578
5467970904;74716
6585061999;1926020
4601830151;948430
3268894364;1459716
6353551781;4003897
6821091006;4461178
7862502084;5616600
6150604162;4966738
3907940474;9551948
9813894341;5395529
7917730349;3565252
7476724968;1792578
3210029558;9070268
3468378562;2045880
5749483663;4530169
9009459181;9618266
5163112999;4736805
4629989143;2579654
2326642931;2863247
8279189940;4062748
8816083792;9484085
2985732815;1541092
8666837102;1471566
9955878499;6924880
6459848900;5219789
9403176361;7577376
9582049605;7536095
7780447034;4481332
4973607921;2436307
6828330078;4357622
5953675819;2503830
1244383260;309348
8782907496;8797996
4343082155;8680642
5605240491;1814075
4561436400;5322819
2599332964;1583561
1860769169;2641916
9776277959;8135790
1451536723;1736500
1818199421;6257869
3751442117;6176605
5851694579;1637343
6939814804;5271324
7052049538;6250562
6471130994;4273691
5000206255;4959564
8042685000;1225173
1859711568;2409487
2449861199;6452313
7213146847;5416697
3803234251;6696796
7552461329;4382680
7198545137;1298353
8040837878;4160178
3109723817;4872680
7606644267;4623331
4983774160;7030256
4957735959;8884168
5556925172;3173080
7201815489;1385096
3819474550;225090
7323737112;6057101
7024551118;5346179
9788406357;7323975
2274488234;5661855
5706749994;9185758
3880363895;9444596
6035374682;8673640
1226738005;8727334
2644938335;5451337
4020051934;1984319
3557426109;3597541
3603171832;878987
1903025233;9972521
9301567238;7311817
7722052947;7535740
9861799153;9205520
6945739329;4622292
4638317880;4343053
4793866601;5226168
3647564288;9182124
