ID;Value
8613006528;364243
5681455547;6223261
9297781658;3855550
1310027895;2965688
9289654716;7697522
9438996081;3694678
5110204969;4420625
5973559983;128036
7702100496;9760395
2297057031;2423018
2755735044;8123860
7270786801;3124938
6164065833;1254498
8502353498;9900191
9497573236;7814321
7017064358;962459
5549084944;3441943
3142996263;7580100
7275904719;4756750
9016705727;9619374
1266055417;8292469
4307606011;2104606
2830457946;6005420
8613004680;5306772
8679681978;9594422
4321761060;2846096
4091884698;862941
2897100299;1973395
7804521084;809196
4653072023;6152244
8053935709;9891475
4177327801;7228948
8043528678;761968
1932320729;1377994
7340533153;8900296
7979187621;1193375
7410147188;4113632
2850406844;3782074
5672725969;539906
8686108626;3045648
6664075903;1638822
1271433016;1071407
9699971617;1715598
7703099596;17546
7504835095;7110767
1675326304;7286993
6375438222;4143598
6782435587;2428840
8347049029;863511
5024426068;3973715
5402478371;5722569
9809651645;360153
1683288563;1687655
2459458462;9979019
5836652027;5702328
3868221508;3699287
5611418209;2564533
3241376201;2258313
6030846194;5697854
8611009555;1297964
7855677158;4350482
4770926718;8913040
4868673401;6014662
2163039835;2512906
1278470450;3925115
9511763250;1022761
3740972834;131609
5634434108;5450767
2865985057;2001431
4343664420;4591648
1123677588;6340695
1089647664;7293082
7867936076;2201810
9843556220;2543129
6082757514;8851707
6131991703;7553512
6971627637;132254
7519881653;8750059
7933757378;9348289
1156815629;8015925
8849928271;86851
6371596796;7297055
4669362535;3883568
4324329662;3346870
8489017035;2840021
5910607201;2846716
7705697732;4215020
4226002484;6921805
5430030704;6178093
2007758207;7304561
2902401436;3562923
7216314588;3781771
4710747156;929391
9198687971;5093921
9733318466;9223439
3269255589;3396991
8577123275;2468680
2339259348;1571239
3763844826;3455727
